Longitude and Latitude of all centroids:
     Latitude  Longitude
0   38.053803 -78.496967
1   38.053487 -78.497815
2   38.024321 -78.473995
3   38.032978 -78.492480
4   38.023252 -78.474203
5   38.033812 -78.495650
6   38.025241 -78.502957
7   38.936337 -77.046912
8   38.028946 -78.490195
9   38.027583 -78.490406
10  38.029064 -78.492966
11  38.029324 -78.496354
12  38.026586 -78.490381
13  38.033711 -78.492954
14  38.025592 -78.476019
15  38.029820 -78.496465
16  38.024395 -78.476460
17  38.053442 -78.494333
18  38.019755 -78.508844
19  38.035604 -78.496811
20  38.052713 -78.498627
21  38.053874 -78.495456
22  38.051866 -78.499841
23  38.054236 -78.496077
24  38.024489 -78.474104
25  38.024525 -78.474405
26  38.053188 -78.497225
27  38.020339 -78.506946
28  38.023410 -78.503508
29  38.025354 -78.472911
30  38.025330 -78.480559
31  38.019573 -78.505721
32  38.027368 -78.487606
33  38.030356 -78.497453
34  38.023621 -78.478126
35  38.030292 -78.498988
36  38.020507 -78.505782
37  38.025127 -78.474867
38  38.031759 -78.492853
39  38.026714 -78.499446
40  38.023198 -78.476868
41  38.031314 -78.490992
42  38.053753 -78.473416
43  38.032125 -78.495460
44  38.026066 -78.473723
45  38.026630 -78.487240
46  38.042588 -78.468733
47  38.029962 -78.498255
48  38.039593 -78.466961
49  38.053081 -78.499900
