Longitude and Latitude of all centroids:
      Latitude  Longitude
0    38.039948 -78.467817
1    38.027778 -78.494704
2    38.049688 -78.503789
3    38.021917 -78.505393
4    38.936337 -77.046912
5    38.033989 -78.496656
6    38.032942 -78.493864
7    38.033837 -78.495172
8    38.024400 -78.478533
9    38.024687 -78.477776
10   38.034265 -78.494034
11   38.023324 -78.477657
12   38.030075 -78.497817
13   38.020315 -78.498262
14   38.049638 -78.503683
15   38.049456 -78.501005
16   38.023050 -78.475756
17   38.029929 -78.496545
18   38.054814 -78.494211
19   38.027922 -78.489318
20   38.057969 -78.488254
21   38.020857 -78.506877
22   38.025008 -78.470085
23   38.024763 -78.479049
24   38.035302 -78.492330
25   38.035492 -78.501311
26   38.029131 -78.493862
27   38.031055 -78.496717
28   38.019771 -78.507455
29   38.025066 -78.478829
30   38.029048 -78.496372
31   38.037986 -78.495892
32   38.019863 -78.498984
33   38.026405 -78.475299
34   38.020320 -78.507995
35   38.025344 -78.476474
36   38.032012 -78.494943
37   38.023345 -78.479911
38   38.028596 -78.495062
39   38.021469 -78.473818
40   38.053520 -78.499743
41   38.024287 -78.478885
42   38.029829 -78.493623
43   38.028321 -78.486057
44   38.025638 -78.476392
45   38.027113 -78.491967
46   38.059192 -78.495143
47   38.024601 -78.473520
48   38.051426 -78.503706
49   38.019521 -78.515330
50   38.026007 -78.477333
51   38.029917 -78.496876
52   38.026155 -78.492810
53   38.019250 -78.505259
54   38.040310 -78.469185
55   38.023772 -78.475629
56   38.031211 -78.496216
57   38.030693 -78.491570
58   38.055087 -78.495529
59   38.041288 -78.467046
60   38.031726 -78.496890
61   38.026566 -78.472693
62   38.026176 -78.483386
63   38.024092 -78.470479
64   38.033570 -78.492626
65   38.027423 -78.488872
66   38.025065 -78.473598
67   38.030409 -78.493833
68   38.023774 -78.474555
69   38.028538 -78.492457
70   38.056119 -78.490883
71   38.026823 -78.488399
72   38.022297 -78.501413
73   38.024703 -78.471497
74   38.025800 -78.472967
75   38.032259 -78.496032
76   38.018698 -78.500557
77   38.027601 -78.469437
78   37.979771 -78.683521
79   38.034619 -78.506498
80   38.026956 -78.492826
81   38.032114 -78.500653
82   38.051754 -78.499934
83   38.052710 -78.500154
84   38.021046 -78.475555
85   38.027366 -78.478782
86   38.032082 -78.497126
87   38.025583 -78.491614
88   38.049894 -78.502705
89   38.024384 -78.476388
90   38.026975 -78.491669
91   38.030958 -78.499381
92   38.053874 -78.492523
93   38.020534 -78.514252
94   38.032641 -78.488058
95   38.024930 -78.474765
96   38.024570 -78.475913
97   38.031484 -78.497218
98   38.026726 -78.493956
99   38.038977 -78.507957
100  38.028923 -78.492547
101  38.032460 -78.494878
102  38.039926 -78.466040
103  38.051312 -78.503756
104  38.018115 -78.509592
105  38.024528 -78.474778
106  38.020502 -78.505956
107  38.024785 -78.472968
108  38.030476 -78.493216
109  38.029022 -78.500382
110  38.030002 -78.481274
111  38.026052 -78.491784
112  38.036237 -78.492024
113  38.018903 -78.508198
114  38.022375 -78.492987
115  38.021213 -78.500370
116  38.021306 -78.474965
117  38.030378 -78.489920
118  38.020876 -78.515577
119  38.049045 -78.502938
120  38.034080 -78.496124
121  38.062509 -78.476180
122  38.022125 -78.472421
123  38.028339 -78.494208
124  38.030575 -78.496892
125  38.034550 -78.498123
126  38.027362 -78.495204
127  38.029114 -78.489320
128  38.053812 -78.475666
129  38.033980 -78.494861
130  38.023304 -78.474552
131  38.034058 -78.497750
132  38.035650 -78.496484
133  38.026639 -78.477432
134  38.058095 -78.493377
135  38.030348 -78.492669
136  38.020606 -78.483489
137  38.024410 -78.476518
138  38.020192 -78.509399
139  38.054679 -78.495620
140  38.024422 -78.473493
141  38.051211 -78.500789
142  38.024345 -78.474282
143  38.034832 -78.497764
144  38.025111 -78.475668
145  38.018426 -78.516124
146  38.020415 -78.503922
147  38.024061 -78.473463
148  38.031682 -78.492116
149  38.023861 -78.467814
150  38.031155 -78.502791
151  38.025972 -78.499430
152  38.052809 -78.498802
153  38.039876 -78.465228
154  38.053391 -78.490448
155  38.023777 -78.476586
156  38.053398 -78.497021
157  38.058239 -78.489534
158  38.028294 -78.495835
159  38.058478 -78.488283
160  38.024440 -78.475768
161  38.051329 -78.500373
162  38.034591 -78.493892
163  38.038811 -78.463140
164  38.042007 -78.468203
165  38.053413 -78.496895
166  38.020919 -78.514498
167  38.024857 -78.501699
168  38.050833 -78.500878
169  38.032196 -78.497529
170  38.026423 -78.492885
171  38.055744 -78.496833
172  38.018962 -78.503756
173  38.021317 -78.474435
174  38.050532 -78.502692
175  38.024842 -78.471342
176  38.022707 -78.514524
177  38.023697 -78.477005
178  38.027129 -78.487706
179  38.038933 -78.495564
180  38.034986 -78.492692
181  38.017531 -78.482480
182  38.021562 -78.470033
183  38.022380 -78.477088
184  38.054384 -78.498664
185  38.059736 -78.488911
186  38.022445 -78.475957
187  38.028141 -78.495441
188  38.030812 -78.493223
189  38.021677 -78.474315
190  38.021084 -78.504843
191  38.053738 -78.498358
192  38.020949 -78.499601
193  38.032528 -78.490157
194  38.038712 -78.497229
195  38.030669 -78.496052
196  38.033740 -78.496036
197  38.036099 -78.495523
198  38.036698 -78.468319
199  38.023433 -78.477275
